skill_id,skill_percentage_rolling,skill_changes_1y,skill_name,in_demand
FS000036,0.002849045498838649,-0.05376665042150019,Access Control,False
FS000233,0.0035865007632388374,-0.05301462210145071,Algorithms,True
FS000260,0.019604038331277933,0.10720048436441881,Amazon Web Services (AWS),True
FS000281,0.06997708873489751,-0.0636054954287582,Analytical Skills,True
FS000334,0.0009172536216589896,0.034395842914879564,Antivirus Software,False
FS000377,0.007215909501304814,-0.020185027730465592,Application Development,True
FS000384,0.011203677929449204,-0.19051067008996078,Application Programming Interface (API),True
FS000390,0.0015121260945556532,-0.07662402412157072,Applications Architecture,False
FS000391,0.00014472137612720837,-0.14963365415067004,Artificial Intelligence Applications,False
FS000435,0.012721737548009784,0.22954824655102066,Arithmetic,True
FS000456,0.008090485779811767,0.28022348545323594,Artificial Intelligence (AI),True
FS000569,3.6712369373233155e-05,-0.15742075080184345,Autodesk Vault,False
FS000624,0.0008292571543491898,-0.16688221297247954,Backup Systems,False
FS000884,0.018448867170234157,-0.16822681859253605,Business Acumen,True
FS000887,0.01119580500272182,-0.013972759443036132,Business Analysis,True
FS000890,0.0028628833993448364,-0.20206216883397468,Business Case,False
FS001041,0.007273074706956511,-0.1603154119707547,Cascading Style Sheets (CSS),True
FS001333,0.004298932490890337,-0.18583860590299225,Cloud Applications,True
FS001334,0.0028113896362490847,-0.12042237629372846,Cloud Architecture,False
FS001335,0.015323273326430947,-0.027499467795717752,Cloud Computing,True
FS001336,0.00011372238234175708,-0.2283535876759602,Cloud Data Management,False
FS001339,0.004342553327258704,-0.1737700805605991,Cloud Infrastructure,True
FS001341,0.0010731187009968624,-0.004080112883211255,Cloud Security,False
FS001343,0.00016427265222117749,-0.1604590314842826,Cloud-Based Testing,False
FS001345,0.0001982803410409286,-0.1194859026254011,Cluster Analysis,False
FS001346,0.0005024415874701082,-0.05631007548404658,Cluster Development,False
FS001518,2.2193057099695773e-05,0.013148717590364895,Computer Clusters,False
FS001527,0.12348150925745585,-0.1386159479562273,Computer Literacy,True
FS001531,0.0015902787826417334,1.918219324501177,Computer Programming,True
FS001555,0.004504414830149258,-0.1440114940830648,Conceptual Thinking,True
FS001576,0.003547104679828041,-0.06908945114384298,Configuration Management,True
FS001632,0.004593606388866411,0.1348067524678943,Content Management (CM),True
FS001797,0.02229844529195994,0.015494112068574569,Critical Thinking,True
FS001871,0.004304006387742605,-0.11442906708401361,Cybersecurity,True
FS001896,0.0020139072367743294,-0.14397290597025036,Data Administration,False
FS001897,0.0332054365379049,0.03087787489804649,Data Analysis,True
FS001905,0.019396993986583087,0.07465980909513849,Data Collection,True
FS001910,0.0009066550478622053,-0.03517449664890381,Data Conversion,False
FS001921,0.0016336375375611202,-0.16039348800910389,Data Extraction,False
FS001931,0.004748234443765095,-0.06987298077795649,Data Interpretation,True
FS001934,0.028574415401381986,0.000954080083496579,Data Literacy,True
FS001937,0.009640372569536577,-0.02851242475027407,Data Management,True
FS001938,0.0013263313137441707,-0.06152043998222016,Data Manipulation,False
FS001945,0.00501828316879493,-0.03720497647355908,Data Modeling,True
FS001951,0.011840703582599943,-0.10792083292697124,Data Processing,True
FS001956,0.0005311132979886097,-0.1940534916961714,Data Recovery,False
FS001962,0.0024177537831378535,-0.09102497033502513,Data Security,False
FS001965,0.0005106394951942282,-0.173331729009318,Data Sharing,False
FS001971,0.0014319606209414002,-0.04198598895823645,Data Transformation,False
FS001974,0.004891100283233519,-0.034940635413398875,Data Visualization,True
FS001978,0.0064644276377551725,-0.12701801709993718,Database Administration,True
FS001981,0.0024869642521847084,-0.09517028033405654,Database Design,False
FS001982,0.008165074160191708,-0.17071709816583558,Database Development,True
FS001986,0.0060408411166544135,-0.12653038051467336,Database Queries,True
FS001990,0.004856086201649681,-0.1603125155864965,Database Systems,True
FS001994,0.0007795036120746711,0.2513037811254811,Databricks,True
FS002014,0.006285667123034335,-0.08272564584082363,Debugging,True
FS002017,0.04177919002637934,0.02898696190947498,Decision Making,True
FS002106,0.00857892173464834,-0.1987224666853683,Desktop Computing,True
FS002389,0.006426908057519078,-0.11389356579640496,Editing,True
FS002504,0.0013536087509540943,-0.2079537745768259,Email Management,False
FS002712,3.3661741307096425e-05,-0.3625109657834942,Ethical Hacking,False
FS002725,0.005375929997332116,-0.10044228982322408,Event Management,True
FS002728,0.00718481615819773,-0.13962729736892399,Event Planning,True
FS002877,0.00011582951719156287,-0.2624066754489504,File Servers,False
FS002878,0.002573241465189194,-0.14760494056654483,File Systems,False
FS002956,0.003221547103904067,-0.1667104737972755,Firewalls,False
FS003105,0.0058601202326952,-0.13746515504062445,Front End Software Engineering,True
FS003185,0.005831217890501595,-0.2823573909156203,General Computing Concepts,True
FS003191,6.989188081420487e-05,-0.32018187744567117,General Linear Models,False
FS003319,0.02770981918445222,-0.14522068504779354,Governance,True
FS003409,0.00013331559146756314,-0.21918596445419666,Hardware Architecture,False
FS003578,0.0022036542058364427,-0.23793729723245793,HTML5,False
FS003624,0.008661980587459341,-0.18342735458204562,HyperText Markup Language (HTML),True
FS003688,0.004341064704628494,-0.022983069397409277,Incident Management,True
FS003690,0.002385528248171172,-0.09145699538372297,Incident Response,False
FS003749,0.00016397912099831897,-0.08270002098229719,Information Infrastructure,False
FS003768,0.014643779995287357,0.12367708665948586,Information Technology,True
FS003917,0.0038216402392644284,-0.1977966049569354,Internet Protocol (IP),True
FS003921,0.0029635017092375523,-0.25098378449768083,Internet Services,False
FS004029,0.01686627261567654,-0.0943683105331784,Java,True
FS004038,0.013634399502682628,-0.16406253981176366,JavaScript (JS),True
FS004039,0.005692262306251965,-0.22602568953999355,JavaScript Frameworks,True
FS004097,0.001369490886762332,-0.2028122707220748,Key Management,False
FS004320,0.00010210693252292718,-0.2757716280331263,Linear Regression,False
FS004327,0.008389615062420515,-0.12682126674530864,Linux,True
FS004409,0.00561320805798139,-0.14911682842269045,Machine Learning (ML),True
FS004774,0.0036808605681298914,-0.06297517534257571,Microsoft Active Directory (AD),True
FS004775,0.012170286729580261,0.06990434055057448,Microsoft Azure,True
FS004776,0.0005645758573944808,-0.012585532266763714,Microsoft Azure Active Directory (Azure AD),False
FS004777,0.0003816639725217874,0.13143753312855969,Microsoft Azure Data Factory,False
FS004780,0.00024020288961990044,0.383490621087066,Microsoft Azure Databricks,False
FS004804,0.004294802087254399,-0.15952086751823408,Microsoft Office 365,True
FS004812,0.005642257165786424,0.1814621266231299,Microsoft Power BI,True
FS004820,0.009779506369171515,-0.05894991258900305,Microsoft Windows,True
FS004877,0.002115573872462969,3.5573420801309275,Mobile Device Management (MDM),True
FS005054,0.0020704539302064313,-0.160838947513372,Network Administration,False
FS005056,0.001480906952353058,-0.142505177392671,Network Architecture,False
FS005069,0.00011438282759318875,-0.13727307506954622,Computer Network Infrastructure,False
FS005072,0.00010962342847969707,-0.1657435220362755,Computer Network Management,False
FS005073,0.0004381477664061336,-0.14589099411664092,Network Management Systems,False
FS005080,0.0013865681139779223,-0.221763651171522,Network Protocols,False
FS005082,0.0022126907741973015,-0.11670089442196013,Network Security,False
FS005087,0.0012996094892060864,-0.10043074740938102,Network Troubleshooting,False
FS005173,0.003251309073250329,-0.25524767045377333,Object Oriented Programming (OOP),True
FS005252,0.01029195946799269,-0.12983956668464583,Operating Systems (OS),True
FS005454,0.00020968612570057386,-0.1079943792719124,Pattern Recognition,False
FS005503,0.0023451677050281257,-0.1498979210781646,Performance Tuning,False
FS005815,0.007461123388229228,-0.15123767799864773,Problem Management,True
FS005816,0.1401791691521161,-0.06846378013522608,Problem Solving,True
FS005935,0.06302030440382902,-0.09064710281849558,Project Management,True
FS006051,0.020193480476551715,-0.06420503155709076,Python,True
FS006179,0.0003331474546864582,5.7643678762416855,Military Reconnaissance,False
FS006181,0.004382840487596036,-0.16796327314632037,Records Management,True
FS006241,0.0006148535625669612,-0.219508633787003,Regression Analysis,False
FS006258,0.006444173983377935,-0.1298748102605462,Relational Databases,True
FS006305,0.01939036856755285,-0.13585421460093564,Requirements Analysis,True
FS006307,0.00364508120871503,-0.12197746280717461,Requirements Management,True
FS006345,0.00028675903821685317,-0.32700850026647477,Responsive Web Design (RWD),False
FS006398,0.011137161657697873,-0.03635732531406091,Risk Assessment,True
FS006408,0.0012791671361855825,0.03111856341327611,Risk Prevention,False
FS006611,0.02721824873548584,-0.1240853060707856,Security,True
FS006612,0.00074207838116021,-0.15237477054152357,Security Administration,False
FS006613,0.0003705412358270415,-0.08357660052753269,Information Security Analysis,False
FS006617,0.0019325257052368056,-0.0802428422697632,Security Controls,False
FS006620,0.0003969904956581857,-0.10320959081955719,Security Engineering,False
FS006623,0.0026147027504179595,-0.09827985212641889,Security Management,False
FS006625,0.006030882021593142,0.2612463758027445,Security Policies,True
FS006627,0.00025457543628200856,-0.13912258564031219,Security Strategies,False
FS006859,0.018913474679729394,-0.16346637148877405,Software Development,True
FS006860,0.005701288391354864,-0.11189144511621761,Software Development Life Cycle (SDLC),True
FS006900,0.0015765981310049346,-0.004455275176378036,Solution Architecture,False
FS007083,5.450245813005117e-05,-0.28132618182684627,Information Storage Management,False
FS007086,0.0012492269514540136,-0.03820574451739984,Stored Procedures,False
FS007118,0.0006645756550676022,0.13758002787882215,Structural Analysis,False
FS007139,0.020264032802617352,-0.04225751392646389,Structured Query Language (SQL),True
FS007154,0.0007829421206852993,0.07746247072004296,Style Guides,False
FS007247,0.0035473457947611028,-0.10852327094278386,System Administration,True
FS007255,0.0031034741695092284,-0.16549965880640485,System Monitoring,False
FS007257,0.00031096488084472165,-0.16052176842320198,System Recovery,False
FS007330,0.001638983999120329,-0.22802261422331946,TCP/IP,False
FS007475,0.0010456630484016317,-0.11461338597153928,Threat Assessment,False
FS007476,0.0015276727661091953,-0.07494590192489861,Threat Detection,True
FS007477,0.00024397686248522424,-0.1379103174084849,Threat Management,False
FS007573,0.0021469712300508713,-0.19728061096036595,Transmission Control Protocol (TCP),False
FS007706,0.000934068767425599,-0.14382277002408406,User Account Management,False
FS007719,0.0013380935291744298,-0.32971682237377026,User Interface Design (UI Design),False
FS007806,0.0011159008767284914,-0.18766646543458285,Video Editing,False
FS007819,0.00020956032660506306,-0.2068877132856111,Virtual Computing,False
FS007823,0.0005131030608146479,-0.15261324119901085,Virtual Local Area Network (VLAN),False
FS007825,0.00041883760524522685,-0.12730676223210788,Virtual Machines,False
FS007832,0.0028656929124779105,-0.2095832736601668,Virtualization,False
FS007846,0.0012567958637005798,-0.2654885928815154,Visual Design,False
FS007880,0.0018670367927654786,-0.1266573135050433,Vulnerability Assessment,False
FS007882,0.0007601410346239681,-0.13311305375800142,Vulnerability Management,False
FS007883,0.0009086783166483372,-0.17355353942341384,Vulnerability Scanning,False
FS007945,0.001102325057671285,-0.3257828347137252,Web Administration,False
FS007947,0.003840772185040028,-0.2684537284914065,Web Application Development,True
FS007949,0.005964418166131607,-0.18051717626237054,Web Applications,True
FS007954,0.002148533235486797,-0.1911049964249677,Web Design,False
FS007955,0.006766062419016177,-0.2263633731676551,Web Development,True
FS007956,0.0003234818908480456,-0.4287821142592021,Web Engineering,False
FS007959,0.00068141176735013,0.05218411387899057,Web Navigation,False
FS007960,0.0009652250100804388,-0.2009759133063695,Web Pages,False
FS007973,0.0001236185778552728,-0.33133139046182347,Website Architecture,False
FS007974,0.001594671267726652,-0.24316377002418557,Website Management,False
FS008034,0.002614587434580408,-0.16534431144292475,Windows Server,False
FS008035,0.00027034225625269465,-0.1338226658044362,Windows Setup,False
FS008077,0.015186330527709489,-0.153453992417673,Workflows,True
FS008232,0.005025988363394966,-0.03522021465250515,Microsoft 365,True
FS008262,0.005215944997616264,-0.08625429271834627,Asset Management,True
FS008274,0.034010666065011526,0.018521965533678582,Manufacturing,True
FS008279,0.015304026064817795,-0.15925193948183017,Best Practices,True
FS008307,0.04448590433190548,-0.07467212514876755,Troubleshooting,True
FS008449,0.0002803432843458027,-0.22620518154354075,Web Accessibility,False
FS008457,0.008863972001817839,0.04148427476407635,Microsoft Azure Cloud Services,True
FS008484,5.220662463697919e-05,0.043589424778271955,Esri ArcPy,False
